유형	인물	대사
dayStart		사고 이후 7일차	심판
background		Background_Hospital
narration	나레이션	(경찰은 지체 없이 오전 10시에 찾아왔다.)
think	나	기억이 아직도 안 돌아왔다./하지만 어쩌면, 돌아오지 않는 게 나을 수도...
think	나	어느 정도 체념은 했지만.../심장이 쿵쾅거려 미치겠는 건 어쩔 수가 없구나.
think	나	내가 이런 무시무시한 짓을 정말로 무자비하게/저지른 인간이라는 것을 확인해버리는 순간, 
think	나	내가 그동안 알아온 나의 모습이랑 다른 모습을 발견하는 순간,/내가 나 자신을 감당 못할 것 같아...
image	여동생	
narration	나레이션	(여동생이 아침부터 내 곁에 있어주었다.)
think	나	내가 힘들 때 늘 옆에 있어주던 태희도 지금은 위안이전혀/못 되네... 오히려 태희로 인해 마음의 짐이 훨씬 무겁다.
think	나	나한테 졸피뎀은 준 게 한 사람의 죽음으로 이어질 거라고는/상상도 못 했을텐데... 그런데도 날 지켜주려 하고 외면하지 않는 게/그저 미안하다...
narration	나레이션	(경찰과 대리가 문 앞에서 내가 나오기를 기다리고 있다.)
narration	나레이션	(여동생은 격려할 말을 찾지 못해 말없이 내 어깨를 두드렸고,/나도 말없이 병실을 나왔다.)
endScene		
image	경찰	대리
background		Background_Hospital_OneRoom
narration	나레이션	(근처의 비어있는 1인실에 탁자와 의자/여러 개가 세팅되어 있었다.)
think	나	그저께 나랑 잠깐 얘기했던 대리님,/지금은 완전히 상반된 표정이야...
think	나	어제 경찰이 조사하는 동안 들은 게 있으신가보다./굉장히 화나보이시네. 망했다...!
talk	대리	너 그렇게 안 봤는데, 진짜 미친 거 아냐?
talk	경찰	이제 조사 시작이니까 일단 진정하세요, 류규원 씨.
talk	경찰	나현빈 씨는 아직도 기억나는 게 없으십니까?
talk	나	...네.
talk	경찰	안타깝지만 어쩔 수 없네요. 그럼 본인이 알고 있거나 기억하는 선에서 답변을 해주시면 됩니다.
talk	나	네...
talk	경찰	사고 전날 휴가를 내고 무엇을 하셨죠?
talk	나	여자친구의 생일파티가 있었어요.
talk	경찰	현재 여자친구와의 관계는 어떤가요?
choice		괜찮다고 해볼까?	사실대로 말하자.
result		1	2
