유형	인물	대사
talk	경찰	졸피뎀이야 어찌됐든, 약효가 일어나기 전에/심장 문제 때문에 쓰러진 걸 거라고요?
talk	대리	졸피뎀이 치사량으로 검출된 게 아니라면서요./소량이라면... 그럴 가능성도 있다는 거죠.
narration	나레이션	(경찰은 한숨을 쉬었다.)
talk	경찰	후... 뭐, 두 분한테 더 이상 조사할 부분은 없을 것 같네요./오늘은 여기서 마치도록 하겠습니다.
talk	경찰	추가적으로 발견되는 증거가 없으면/범인을 특정지을 수가 없는데... 
talk	경찰	그럼 유족들 바람대로 심장 쪽으로/결론지을 수도 있겠네요. 일단 가보세요.
talk	나	네. 수고 많으십니다.
endScene		
narration	나레이션	(조사가 마무리되고 경찰이 떠났다.)
image	대리
talk	나	대리님, 수고하셨어요. 도와주셔서 감사해요.
talk	대리	너도 고맙다. 회사에서 과장님이랑 제일 사이 안 좋았던 사람이/나라는 걸 다들 알고 있었던 것 같은데... 
talk	나	에이, 뭘요. 들어가서 쉬세요.
think	나	휴... 다행이다. 경찰 측에서 역시 나나 대리님이 범인이라고/할 수 있을 만한 추가적인 증거를 며칠동안 못 찾은 모양이야.
think	나	하지만 제삼자가 범인일 수 있는 증거도 찾지 못한 게 살짝/아쉽다... 찝찝한 구석이 있는 건 어쩔 수 없네.
endScene		
image		
background		Background_Black
narration	나레이션	(며칠 뒤, 경찰은 심장마비 쪽으로 결론을 맺었고,/그 누구도 잡혀들어가지 않았다.)
narration	나레이션	(다행이었다. 캔커피 때문에 혹시라도 억울하게 잡혀가서/인생이 뒤집힐 수도 있는 거였다.)
narration	나레이션	(다만 졸피뎀을 내 캔커피에 넣은 사람이 다른 사람인지,/혹은 과장님인지, 누구인지는 아무도 밝혀낼 수 없었다.)
result		1
