유형	인물	대사
think	나	남의 가방을 뒤지는건 별로 내키지는 않지만/여동생이기도 하고 중요한 연락이면 알려줘야 하니까...
think	나	어...?
object		Phone_Ringing
think	나	이거 내 핸드폰인데...?/아직 수리중이라고 하지 않았었나?
think	나	아니 그보다 발신자가... 예진이다.
think	나	여동생이 나를 속였다는게 충격적이긴 하지만 지금은/며칠동안이나 연락못한 예진이와 통화하는게 우선이다.
object		Phone_Calling
narration	나레이션	(예진이의 전화를 받는다.)
talk	나	예진아~!!
talk	예진	어...? 어...
talk	나	내가 늦게 연락해서 미안해. 많이 놀랐어?
talk	예진	어... 아냐...
talk	나	미안해. 나 핸드폰 고장난 줄 알고 연락을 못했어.
talk	예진	어... 그렇구나. 괜찮은 것 같아서 다행이다.
talk	나	근데 목소리가 왜 그래? 일이 많이 힘들어?/또 과장님이 트집잡고 그래?
talk	예진	어? 아냐. 그런거. 그냥 너 사고났다고 들었는데/괜찮은가 해서 연락한거야.
talk	나	응. 팔 뼈에 금 간 것 빼고는 괜찮은데/사고 전날부터의 기억이 없어.
talk	예진	기억이 없다고? 11월 11일부터의 기억이 안난다는거야?
talk	나	응. 그날 네 생일맞이 여행간 것도 기억이 안나지 뭐야/여동생이 말 안해줬으면 모를 뻔했어.
talk	예진	뭐? 여행? 내 생일맞이 여행?
talk	나	어? 어... 11일이 너 생일이니까 당일치기로 강릉 가기로...
talk	예진	지금 장난해? 그날 너가 놀러가자고/휴가까지 썼으면서 결국에는 안 나왔잖아!
talk	나	어...? 내가 안나갔다고...?
think	나	우리가 여행을 안 갔다고? 하지만 분명 태희가...
narration	나레이션	(두 사람 사이에 무거운 침묵이 깔린다.)
talk	예진	그래. 너 기억 잃은거 진짜인 것 같으니까 말해줄께./그 날 너 약속에 결국 안나왔어.
talk	예진	내가 기차역에서 얼마나 기다렸는 줄 알아?/그 자리에서 3시간은 기다렸다고!
talk	예진	그래놓고 나중에 하는 말이 기가 막히더라.
talk	예진	어제 술을 너무 많이 마셔서 일어나지 못했다고.../맨날 똑같은 그 소리. 너무 지겨워.
talk	나	어...? 어... 그게...
talk	예진	됐어. 이제와서 변명할 필요 없어./기억도 안나는 애한테 내가 무슨 변명을 듣니.
talk	예진	그리고 어차피 이제 너랑 나랑은 파혼한 사이니까.
talk	나	뭐...? 파혼?
talk	예진	아무튼 너 몸 멀쩡한거 확인했으니까 됐어./그럼 이만 끊을께.
talk	나	어...? 자... 잠깐만! 예..예진아!
object		None
narration	나레이션	(통화는 이미 끊어져 있다.)
narration	나레이션	(병실에 정적이 흐른다.)
think	나	파혼이라고...?
think	나	몇 달 간 회식에 끌려다니고 집에 새벽같이 들어가면서/예진이랑 계속 문제가 있긴 했었다.
think	나	그래서 생일에 휴가까지 내고 모처럼 여행을 가려고 한건데/그 기회를 멍청하게 회식으로 망쳐버리다니...
think	나	그날 회식에 가면 안됐어... 아니 애초에 과장이 끌고 가지만 않았어도...
think	나	......
think	나	설마 진짜 내가 한걸까?
think	나	지금 기분이라면... 정말 내가 죽인 것일지도 모른다.
narration	나레이션	(정적을 깨고 여동생이 병실로 들어온다.)
image	여동생	
talk	여동생	오빠. 오래 기다렸지? 미안. 나 회사에서 갑자기... 어?
talk	여동생	핸드폰.... 내 가방에서 꺼낸거야...?
result		2
