유형	인물	대사
talk	대리	맞아요, 애초에 이 친구가 예전에도 몇 번 길을 헤맨 적이 있어요.
talk	대리	그러니까 어떻게 된 거냐면, 그날 현빈 씨가 운전을 하고 있었는데 길을 잘못 들어서 저희 과장님이 화가 나셨어요.
talk	대리	일처리가 항상 칼 같고 답답한 걸 못 참는 분이라서 본인이 직접 운전하는 게 편하겠다 하시고 휴게소에서 차를 세우고 운전자를 바꾼 거에요.
talk	대리	아, 그리고 사고가 나는 순간에도 이 친구가 과장님을 붙잡고 괜찮냐고 소리지르면서 핸들을 자기가 똑바로 돌리려고 애썼는데
talk	대리	그새 사고가 나버린 거거든요. 사고가 나길 바라는 사람이면 그렇게 못 해요.
think	나	대리님께서 고맙게도 보충설명을 다 해주셨다...!
talk	경찰	그럼 뭐, 둘 다 아니라면 과장분이 스스로 그 커피에 졸피뎀을 넣어서 먹고 자살했다는 얘기가 됩니까?
talk	경찰	주변인들 진술에 따르면 과장분이 우울증도 아니었던 걸로 보이는데.
choice		그럴 가능성이 있을 수도 있지.	자살은 아닌 것 같은데...
result		1	2
