유형	인물	대사
dayStart		사고 이후 6일차	의문
background		Background_Black
think	나	혼란스럽다.....일단 나는 범인이 절대 아니다....
think	나	내가 과장님을 죽일 이유가 뭐가 있단 말인가. 
think	나	만일 죽일만한 이유가 있었다고 해도, 나는 사람을 죽일 위인이 못 된다.
think	나	내가 얼마나 열심히 살아 왔는데..이렇게 인생을 망칠 이유가 없다. 
think	나	게다가 동반자살을 계획 했다고? 앞으로 하고 싶은 일이 얼마나 많은데...
think	나	이건 대리님도 마찬가지다. 아무리 회사에서 과장님과 갈등이 많았다고 해도..
think	나	상식적으로 이게 사람을 죽일 수 있는 이유가 되나? 
think	나	무엇보다 대리님은 감정이 표정에 다 나타나는 사람이다. 
think	나	이렇게 태연하게 거짓말을 할 수 있을리가... / 게다가 대리님도 절대 사람을 죽일 그릇이 못 된다. 
narration	나레이션	여동생이 급하게 병실 문을 열고 들어온다. 
talk	여동생	오빠 몸은 좀 괜찮아? 
talk	나	응 괜찮아.. 또 무슨 일 있어?
talk	여동생	오빠네 과장님 유가족들이 나서서 사인이 타살이 아니라 심장마비일거라고 했대!!
talk	나	아...어제 대리님한테 들었어. 근데 부검에서 졸피뎀이 검출된 건 맞잖아..?
talk	여동생	치사량은 아니었잖아? / 내 생각엔 보험금 문제 때문에 심장마비가 먼저 온 거라고 주장하고 있는 것 같아..
talk	나	보험금..? 고작 그거 때문에..?
talk	여동생	그분이 원래 심근병증이 있으셨다면서? 만약 타살이면 보험금을 못 받으니까. 
talk	나	아무리 그래도 그렇지...
talk	여동생	유가족들 입장에서는 보험금을 받으려고 하는 것도 어쩔 수 없는 일이지.. / 아직 애들이 중학생이라던걸..
talk	여동생	그리고 정말 심장마비가 먼저 왔을 수도 있는 거잖아.. / 우리 입장에선 잘 된 일이지 
think	나	과장님 책상에 올려져 있던 가족사진이 생각 난다. 
talk	여동생	나는 오히려 이게 더 가능성 있는 얘기 같아.. / 검출된 졸피뎀 양이 그렇게 많지도 않았고
talk	나	그러면 도대체 졸피뎀은 누가 넣은거지? / 나랑 대리님이라고 하더라도 의도적으로 넣은 건 아닐거야..이 부분은 확신이 들어.
think	나	과장님이 정말 심장마비로 돌아가신 거라면.. / 나와 대리님은 자연스럽게 풀려나지 않을까? 
think	나	경찰은 하루라도 빨리 이 사건을 종결하려고 하는 중이니... / 번거롭게 나와 대리님을 용의자로 몰아가기 보다 심장마비로 결론을 지을 수도 있는 일이다. 
think	나	진짜 심장마비였다면, 어차피 경찰은 우리가 유죄라는 증거를 가져올 수도 없을 것이다. 
narration	나레이션	사수가 들어 온다. 
talk	나	대리님 아무리 생각해도...저랑 류대리님 둘 다 과장님을 죽일 이유가 없어요..
talk	나	지금 경찰이 가지고 있는 증거라고는 캔커피에서 발견된 졸피뎀 하나 뿐인데.. / 그거로 저랑 류대리님을 범인으로 잡아갈 수 있나요? 
talk	사수	글쎄.....경찰이 열심히 조사 중인 것 같기는 한데.. / 추가적인 증거가 나오지 않는 이상 이렇게 끝낼 수는 없지. 
talk	나	과장님 심장병이 최근들어 더 나빠지셨잖아요.. / 회사 사람들 다 알고 있는 사실인데..
talk	나	혹시 회사 사람들한테 부탁해서 과장님 지병에 대한 진술을 받아 주실 수 있을까요? 
talk	나	별 건 아니지만...저랑 류대리님 무죄를 밝히는 데 도움이 될 수도 있을 것 같아요. 
talk	사수	그래, 나도 너랑 류대리님이 범인일 거라고 생각하지 않아. / 그 부분은 내가 힘 써볼게. 혹시 더 알아봐 줄 건 없고? 
choice		다른 용의자가 있을 가능성에 대해 물어 본다. 	과거 과장님의 상태에 대해 더 물어 본다. 	없는 것 같아요. 이만큼 도와주신 것도 정말 감사합니다.
result		1	2	3
